category,sku,image_url,product_title,link
nutrition,A0244,/medias/A0244-en-US-480px-01?context=bWFzdGVyfGltYWdlc3w0MTE2NXxpbWFnZS9wbmd8aW1hZ2VzL2gyOC9oYWMvOTQ0OTg4NTQ2NjY1NC5wbmd8YjBhNjMwNGQ5YTg1YjE4ZDZlYmM2YjJkZWM4MjU5NzdlYmJlNWI1NzM5MDcxMjMyNDBlYjAyMWI1NGYzOWM4Yg,Nutrilite Double X Multivitamin,https://amway.com/share-link/R8r6J4uovm
home,109849,/medias/109849-en-US-480px-01?context=bWFzdGVyfGltYWdlc3w2MTEyNXxpbWFnZS9wbmd8aW1hZ2VzL2hiNC9oODYvOTM1NTAwNjc3MTIzMC5wbmd8MDQwY2VlMTU0MmMwNmJkYjM1NTE3ODMyMjE1OGY0YzIyMDliYzk2Yzg3YTg5MDJjODllYTMzZTYwZmMxZjA1MA,Amway Home SA8 Powder Laundry Detergent,https://amway.com/share-link/yoV6xi20D
nutrition,123377,/medias/123377-en-US-480px-01?context=bWFzdGVyfHJvb3R8MjY4ODMwfGltYWdlL3BuZ3xzeXMtbWFzdGVyL3Jvb3QvaGU1L2gyNy85NTc1MTk5NjcwMzAyLzEyMzM3Ny1lbi1VUy00ODBweC0wMXwwYTMwNDhlYjQ3ODExOTZkZTYxNjNkODVhZWZlNzE0NWJhZjc3MmNjM2JhODQxYmY3ZDU4NDI4ZGMzNmMyZmM5,Nutrilite Perfect Pack,https://amway.com/share-link/X6px7vWoO
home,110478,/medias/110478-en-US-480px-01?context=bWFzdGVyfGltYWdlc3w0NDcwMnxpbWFnZS9wbmd8aW1hZ2VzL2g1OC9oNjcvOTM1NTAxMzE2MDk5MC5wbmd8YWZlZDlhYjdhZjcwNGY5NTVlZWQyNmM5ZWIzMDJkMzExNWM1MjczMmUyZGE3ODg2YzIxNTg2MWE5Y2ZkMDZmOQ,Amway Home SA8 Liquid Laundry Detergent,https://amway.com/share-link/IGIjlwDE6
home,100186,/medias/100186-en-US-480px-01?context=bWFzdGVyfGltYWdlc3w0Njg0NHxpbWFnZS9wbmd8aW1hZ2VzL2g2ZC9oYzQvOTM1NTE4NDAxMzM0Mi5wbmd8NWE5ZDljMDg4ZmNmNDliMjEyYmM1NmZlM2JhYzg0Y2UwNTg4OTdiNjBlYmI5ODFmOGRhNDFhN2U2MTdkZDU3Nw,eSpring UV Water Purifier Replacement Filter Cartridge With UV Technology,https://amway.com/share-link/DL9mBLagz
nutrition,109747,/medias/109747-en-US-480px-01?context=bWFzdGVyfGltYWdlc3wyMzI0NDl8aW1hZ2UvcG5nfGltYWdlcy9oMDUvaGNlLzk0NDk4ODA0NTMxNTAucG5nfDYyNmJjNGQ3YmRhZGY5MzdkMDlhMDVmNjY0ZTQ4NzdmYjUwMGM4YmIzM2U2MTYzYjk5NTU4ZjFkMDBjZTMwNGE,Nutrilite Vitamin C Extended Release,https://amway.com/share-link/DVa8cA3Y9
nutrition,123372,/medias/123372-en-US-480px-01?context=bWFzdGVyfGltYWdlc3wyMjYzNjV8aW1hZ2UvcG5nfHN5cy1tYXN0ZXIvaW1hZ2VzL2hlNS9oNmUvOTU3NTIwMTk5NjgzMC8xMjMzNzItZW4tVVMtNDgwcHgtMDF8MDVlMDE2MTg3MDUzOGFmZDhhMjU2NTJmOTgyYzY4N2Q0YjQwNWU3NGE5NGRmYzY5YzZjYTdlNGQ1ZGVjODU3NQ,Nutrilite Women’s Pack,https://amway.com/share-link/tYR9zC2BP
beauty,120549D,/medias/120549D-en-US-480px-01?context=bWFzdGVyfGltYWdlc3wzOTU2NHxpbWFnZS9wbmd8aW1hZ2VzL2g4Zi9oZTcvOTM1NTI2NTMxMDc1MC5wbmd8NzUzMzBiZDRhYmQzYzM1MjFmMWExYjY4MzRkNjMwOWYwZGFjN2ZjNjBiMjBjODUwMTQwNWI5NGEyY2FlOWNjOQ,Artistry Men Unknown Eau de Parfum Spray,https://amway.com/share-link/mBcldwF2G
beauty,119630D,/medias/119630D-en-US-480px-01?context=bWFzdGVyfGltYWdlc3w1NjE4MXxpbWFnZS9wbmd8aW1hZ2VzL2g2NC9oMDYvOTM1NTI0MDIxMDQ2Mi5wbmd8NjI5OWIxOTkyODg5Y2Q2ZDliNDU3MWNmNzg0YWRmZGZlNzg1Y2M2ODUwN2IzNmNiYjcxODk2YWFmMjZmM2YwNg,Artistry Flora Chic Eau de Parfum Spray,https://amway.com/share-link/HJo3maT7D
nutrition,106964,/medias/106964-en-US-480px-01?context=bWFzdGVyfGltYWdlc3wyMjE3Mzd8aW1hZ2UvcG5nfGltYWdlcy9oNGMvaGQzLzk0OTM4NDc4MDE4ODYucG5nfGUyZGY0ZWE3NzliYmQ5NjIwMmQyYzc0NGZhNDc3ODE4NGM2YTBjYmVlNzQzNGMwZDc2NDE5Yzk5Mjk1YTlmNzk,Nutrilite Joint Health,https://amway.com/share-link/JoGFVxMze
nutrition,120571,/medias/120571-en-US-480px-01?context=bWFzdGVyfGltYWdlc3w0NzAxOXxpbWFnZS9wbmd8aW1hZ2VzL2g5OC9oODcvOTQ0OTg4Mjc3OTY3OC5wbmd8MGFkN2JjYThkZmZhYmM0MjU5M2FkZjIzNjU3Y2VlNDE4YTI3OGNmYWNiNjdmMDU4NDRkYWVkYzJhN2UyNmU5Ng,Nutrilite Balance Within Probiotic,https://amway.com/share-link/lqw9i3qHU
home,110403,/medias/110403-en-US-480px-01?context=bWFzdGVyfGltYWdlc3wzMjU3OXxpbWFnZS9wbmd8aW1hZ2VzL2hlYi9oMTQvOTM1NTE4MzIyNjkxMC5wbmd8MWU4MTJlNjQwNDcwNGY5Y2JiZDgwZDZhMjY4NzFlMGQ2M2YyOTQ5NDAyNDhjNDE0YWJhZjI5MTA3MTgyZWI2YQ,Amway Home Prewash Spray,https://amway.com/share-link/lkbbiBlnZ
beauty,118184V,/medias/118184V-en-US-480px-01?context=bWFzdGVyfGltYWdlc3w2MDU5MHxpbWFnZS9wbmd8aW1hZ2VzL2gwNS9oNDIvOTM1NTIyMDgxMTgwNi5wbmd8ZDRhNTlhNjAzYzUxYjNmOGRhZTdiYzg4MmY0OWI4YTMzOWVkMjY5MDYzOTA5NjNhM2UxYzkzMjliYzZlZjQ2Mg,Artistry Supreme LX Regenerating Cream,https://amway.com/share-link/6EH5U9htP
nutrition,123365,/medias/123365-en-US-480px-01?context=bWFzdGVyfGltYWdlc3wyNDc4NTF8aW1hZ2UvcG5nfHN5cy1tYXN0ZXIvaW1hZ2VzL2gzZC9oOTIvOTU3NTE5ODYyMTcyNi8xMjMzNjUtZW4tVVMtNDgwcHgtMDF8YjAzYzJjMGI1YmRkZjNmZmM0YmM3OWJkNzljOWU4ZjQ4NWE3NTFhZmY0NjdmYmViMjA0YjAxZmZmODJiNjNmNg,Nutrilite Men’s Pack,https://amway.com/share-link/kRk6TsXMk
nutrition,124506,/medias/124506-en-US-480px-01?context=bWFzdGVyfGltYWdlc3wzMzYxNnxpbWFnZS9wbmd8aW1hZ2VzL2g5ZS9oODgvOTM1NTI5NDk2NTc5MC5wbmd8ZDU0NjNhZDIyNGMxODU3NGUwZjkzN2ExMTFiZGNiNWQxM2M1YmE4N2E4NDBhYWJiNjBlZmUyM2ZiYWVmNTA1Yw,Nutrilite Sweet Dreams – Sleep Gummies,https://amway.com/share-link/Ogjb8KB59
personal-care,125897TR,/medias/118116D-en-US-480px-01?context=bWFzdGVyfGltYWdlc3w0MTcwMHxpbWFnZS9wbmd8aW1hZ2VzL2g4MS9oMGIvOTM1NTIxNzIwNzMyNi5wbmd8MzNlYjQ1ZGZkM2EzMzI1ZjBmYWUxMzk4YWZlM2Y4NTI5YTdhNWM0MTcwNmVlZDE1MTBiOWFhOTVmOWU0MzBkYQ,G&H Protect+ Bar Soap,https://amway.com/share-link/LStqePxAN
nutrition,123362,/medias/123362-en-US-480px-01?context=bWFzdGVyfHJvb3R8NTYyMTB8aW1hZ2UvcG5nfHN5cy1tYXN0ZXIvcm9vdC9oMzkvaDhiLzk1MTE3NjY5MTcxNTAvMTIzMzYyLWVuLVVTLTQ4MHB4LTAxfDY2NDVmYzM5YzM1MGRmMDcxM2UwZDliZDRlNjhmNDQxZWViMjRjNDk2MGY3OWRkODM4MDllMTE2YWFmMWY2MGI,Nutrilite Bone Health Pack,https://amway.com/share-link/9W1eYifq9
beauty,123786V,/medias/123786V-en-US-480px-01?context=bWFzdGVyfGltYWdlc3wzMjgyOHxpbWFnZS9wbmd8aW1hZ2VzL2g3YS9oNTcvOTM1NTI3ODA1NzUwMi5wbmd8NmYxYzM4ZTVlMjZiY2ZiMzI3NGY4YzYwOTQwZjdjMTZmM2M0NDY2MzA3ZTI4YTZhNzkxNmNlNDk2NjYzZTUyNQ,Artistry Skin Nutrition Firming Ultra Lifting Cream,https://amway.com/share-link/P3y6O3N4I
nutrition,A8903,/medias/A8903-en-US-480px-01?context=bWFzdGVyfGltYWdlc3wxNTc0MDB8aW1hZ2UvcG5nfHN5cy1tYXN0ZXIvaW1hZ2VzL2g3ZS9oYTEvOTY4Mjc1ODYzMTQ1NC9BODkwMy1lbi1VUy00ODBweC0wMXxkYjY5MTYwOTNiMWM3NzM4YzFjM2MwNmY4ODMzMTdlODE0OTU3NDMxZGJhNzlmNzBhYmIyMGZmNzg0ZTdmMDQ2,Nutrilite Digestive Enzyme,https://amway.com/share-link/er0HOIOs3
nutrition,123842,/medias/123842-en-US-480px-01?context=bWFzdGVyfGltYWdlc3w1MDE1NXxpbWFnZS9wbmd8c3lzLW1hc3Rlci9pbWFnZXMvaGI3L2hlNC85NTMzNjU3Nzc2MTU4LzEyMzg0Mi1lbi1VUy00ODBweC0wMXw1ZWViZjM4NDI4MDM5MzgzMDc5ZWIxMTg2NGJjMjY2OGYzYzdjNmU0Y2Q2YWM0NDcwMTE0ZjUyMDgyYTI5MmE1,Nutrilite Ultra Focus Energy Pack,https://amway.com/share-link/SHVHth2Go
home,117774,/medias/117774-en-US-480px-01?context=bWFzdGVyfGltYWdlc3w1Njg5N3xpbWFnZS9wbmd8aW1hZ2VzL2gwZS9oZDgvOTM1NTIyNjA4NzQ1NC5wbmd8ZDdkYjkyMTg5MmIyOGI0NjBmYTEwNjUxZTc0MmQ3OGFjYmVjYjE0MDgxOGYyZjQxZDExMjQzZjIzOTNhZTJhNQ,Amway Home All Fabric Bleach,https://amway.com/share-link/5j047pKBe
nutrition,110610,/medias/110610-en-US-480px-01?context=bWFzdGVyfGltYWdlc3wxNjM4MzB8aW1hZ2UvcG5nfHN5cy1tYXN0ZXIvaW1hZ2VzL2hlZC9oOTIvOTcxMDg0OTE2MzI5NC8xMTA2MTAtZW4tVVMtNDgwcHgtMDF8ZjA5Nzk3NmZhM2IyMTE0YTkzMjg4MGFhYzQ4NTFkMGNiMGI1ZGUzMTVkZTNlZDczYzk0YjkwNGE1N2MyNjlhMg,Nutrilite Cal Mag D,https://amway.com/share-link/bLiWm26es
beauty,123787,/medias/123787-en-US-480px-01?context=bWFzdGVyfGltYWdlc3wzMjA1NnxpbWFnZS9wbmd8aW1hZ2VzL2hjZC9oODQvOTM1NTI5NTEyOTYzMC5wbmd8NDNkMjdmOWMyOWIzNTQzM2NiMDdhMWU1MTQxZTkzOTllNjJhNTFhY2QwNDc2ZjI2MDE2YTA0YjI0MDM2ZDYwOA,Artistry Skin Nutrition Renewing Reactivation Day Cream SPF 30,https://amway.com/share-link/1EsbwRTXf
